Designator;Comment;Layer;Footprint;Center-X(mil);Center-Y(mil);Rotation;Description;LCSC PART #;;
R45;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2390;440;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R44;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2390;305;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R43;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2255;235;90;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R42;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2292,401;60;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R31;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2820;575;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R30;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2820;440;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R29;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2820;305;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R28;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2954,37;215;90;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R27;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2915;60;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R24;R 560 1/8W 0805 .1%;TopLayer;RESC_0805;2605;660;180;Resistores de Filme Fino - SMD 1/8W 3.6K ohm .1% 25ppm;C28636;;
R21;R 330 1/8 0805 .1%;TopLayer;RESC_0805;2509,64;1365;90;Resistores de Filme Fino - SMD CPF 0805 330R 0.1% 25PPM 1K RL;C17630;;
P9;P 2p 5mm;BottomLayer;connector1x2_parafuso;2595;60;360;Bloques de terminales de PCB de perfil estándar RS de 5,0 mm;;;
C21;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;2195;1230;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
C23;C 10nF 0805 MLCC 50V X7R;TopLayer;CAPC_0805;2610;1363,588;90;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10nF 50V X7R 10%;C1710;;
C22;C 1uF 0805 MLCC 50V X5R;TopLayer;CAPC_0805;2603,588;575,539;180;Capacitores de cerâmica multicamada MLCC - SMD/SMT 0805 50V 1uF 20% X5R;C28323;;
C16;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;2235;760;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
